ID del cliente,Deserción en la empresa,Género del cliente,Cliente senior,Relación de pareja,Dependientes,Meses de contrato,Servicio telefónico,Múltiples líneas telefónicas,INTERNET,Seguridad en línea (INTERNET),Respaldo en línea (INTERNET),Protección del dispositivo (INTERNET),Soporte técnico (INTERNET),Televisión por cable,Streaming de películas,Tipo de contrato,Factura en línea,Forma de pago,Monto mensual,Monto total según meses contratados,Monto diario
1518-VOWAV,1,Mujer,0,0,0,9,1,0,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.65,703,2.49
1522-VVDMG,1,Hombre,0,1,1,7,1,0,Fiber optic,0,1,0,1,1,0,Month-to-month,1,Electronic check,89.75,608,2.99
1525-LNLOJ,0,Hombre,0,1,1,66,1,1,DSL,0,0,1,0,1,0,Two year,1,Bank transfer (automatic),63.3,4189,2.11
1527-SXDPN,1,Hombre,0,1,1,52,1,1,Fiber optic,0,0,1,1,0,1,Two year,1,Bank transfer (automatic),96.25,4990,3.21
1530-ZTDOZ,0,Mujer,0,1,0,49,0,0,DSL,1,0,0,0,1,0,Month-to-month,0,Bank transfer (automatic),40.65,2070,1.36
1534-OULXE,0,Mujer,0,1,1,61,1,0,DSL,1,0,0,0,0,0,One year,1,Bank transfer (automatic),49.7,2961,1.66
1535-VTJOQ,0,Mujer,0,0,0,24,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),25.15,553,0.84
1536-HBSWP,0,Mujer,0,0,0,1,1,0,DSL,0,0,0,1,0,0,Month-to-month,1,Electronic check,49.9,49,1.66
1536-YHDOE,0,Hombre,0,1,1,17,1,1,DSL,1,0,0,1,0,0,One year,1,Mailed check,62.1,1096,2.07
1539-LNKHM,0,Mujer,0,0,0,12,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.4,266,0.68
1541-ETJZO,1,Hombre,0,0,0,1,1,1,DSL,0,0,1,1,0,0,Month-to-month,0,Mailed check,62.05,62,2.07
1543-LLLFT,0,Hombre,1,1,0,61,1,1,Fiber optic,0,1,1,1,1,0,One year,1,Mailed check,98.3,6066,3.28
1544-JJMYL,0,Hombre,0,0,0,27,1,0,DSL,1,0,1,1,1,0,One year,0,Credit card (automatic),69.35,1927,2.31
1545-ACTAS,0,Mujer,0,1,1,48,1,0,Fiber optic,1,0,1,0,1,1,One year,1,Bank transfer (automatic),99.7,4977,3.32
1545-JFUML,0,Hombre,0,1,0,71,1,1,Fiber optic,1,1,1,0,1,0,Two year,1,Electronic check,99.0,6994,3.3
1548-ARAGG,0,Mujer,0,1,1,4,1,1,DSL,0,1,0,1,0,0,Month-to-month,1,Mailed check,58.5,224,1.95
1548-FEHVL,0,Hombre,0,1,0,61,1,1,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Electronic check,106.2,6375,3.54
1550-EENBN,0,Mujer,0,0,0,31,1,1,Fiber optic,1,1,0,0,1,1,Month-to-month,0,Electronic check,104.35,3205,3.48
1550-LOAHA,1,Mujer,0,1,0,32,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Bank transfer (automatic),84.15,2585,2.8
1552-AAGRX,0,Mujer,0,0,0,30,1,1,Fiber optic,1,0,0,1,1,1,Month-to-month,0,Bank transfer (automatic),106.4,3211,3.55
1552-CZCLL,0,Mujer,0,1,1,55,1,0,No,0,0,0,0,0,0,Month-to-month,0,Credit card (automatic),20.0,1087,0.67
1552-TKMXS,0,Mujer,0,1,0,42,1,0,No,0,0,0,0,0,0,Month-to-month,0,Credit card (automatic),20.35,869,0.68
1555-DJEQW,1,Mujer,0,1,1,70,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),114.2,7723,3.81
1555-HAPSU,0,Mujer,0,1,1,71,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),23.9,1663,0.8
1557-EMYVT,0,Mujer,0,0,0,43,1,1,Fiber optic,1,1,1,1,1,1,Two year,0,Credit card (automatic),115.05,4895,3.84
1559-DTODC,0,Hombre,0,0,0,19,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),25.15,468,0.84
1561-BWHIN,0,Hombre,0,1,1,19,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,19.8,344,0.66
1563-IWQEX,0,Mujer,0,0,0,12,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.7,220,0.66
1564-HJUVY,0,Hombre,0,0,0,4,1,0,DSL,0,1,0,1,1,0,Month-to-month,1,Bank transfer (automatic),63.75,226,2.12
1564-NTYXF,1,Mujer,1,0,0,13,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,82.0,1127,2.73
1565-RHDJD,1,Mujer,0,0,1,4,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),84.05,333,2.8
1567-DSCIC,1,Hombre,0,0,0,8,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,1,Electronic check,94.0,773,3.13
1568-BEKZM,0,Hombre,1,1,0,70,1,1,DSL,1,1,1,1,1,1,Two year,0,Credit card (automatic),90.05,6333,3.0
1568-LJSZU,0,Hombre,0,1,1,68,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),92.2,6392,3.07
1569-TTNYJ,1,Hombre,0,1,0,5,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,78.75,412,2.62
1571-SAVHK,1,Hombre,0,0,0,12,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Mailed check,99.95,1132,3.33
1573-LGXBA,0,Hombre,0,1,1,57,1,0,Fiber optic,0,1,1,0,1,1,One year,1,Credit card (automatic),97.55,5598,3.25
1574-DYCWE,0,Mujer,0,1,1,51,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,19.95,1028,0.66
1575-KRZZE,0,Mujer,0,0,0,4,1,0,DSL,1,1,0,0,0,0,Month-to-month,0,Electronic check,55.2,220,1.84
1576-PFZIW,0,Hombre,1,1,0,70,1,0,Fiber optic,1,1,1,0,1,1,Two year,0,Credit card (automatic),105.35,7511,3.51
1577-HKTFG,1,Mujer,0,1,0,30,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),19.65,655,0.65
1579-KLYDT,1,Hombre,0,0,0,7,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Electronic check,90.45,593,3.02
1580-BMCMR,0,Hombre,1,0,0,19,1,0,Fiber optic,1,0,0,0,0,1,Month-to-month,1,Electronic check,87.3,1637,2.91
1582-RAFML,1,Hombre,0,0,0,1,1,1,DSL,0,1,0,1,0,0,Month-to-month,0,Mailed check,60.1,60,2.0
1583-IHQZE,1,Hombre,0,0,0,12,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Mailed check,112.95,1384,3.76
1585-MQSSU,1,Hombre,0,0,0,17,1,0,DSL,0,0,0,1,0,0,Month-to-month,0,Mailed check,51.5,900,1.72
1587-FKLZB,1,Hombre,1,1,1,66,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),99.5,6822,3.32
1589-AGTLK,1,Hombre,0,0,0,3,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.35,141,1.51
1591-MQJTP,0,Hombre,1,1,0,51,1,1,Fiber optic,1,0,1,0,0,1,One year,1,Bank transfer (automatic),93.65,4839,3.12
1591-NFNLQ,1,Hombre,0,0,0,51,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,0,Credit card (automatic),80.0,4242,2.67
1591-XWLGB,0,Mujer,0,1,0,71,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.85,1379,0.66
1596-BBVTG,1,Hombre,0,0,0,35,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Credit card (automatic),75.35,2636,2.51
1596-OQSPS,0,Mujer,0,0,0,11,1,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,51.1,531,1.7
1597-FZREH,1,Mujer,0,0,0,2,1,0,DSL,0,0,1,1,1,1,Month-to-month,0,Electronic check,76.4,160,2.55
1597-LHYNC,1,Mujer,1,0,0,26,1,1,Fiber optic,1,1,0,0,0,1,Month-to-month,1,Electronic check,95.0,2497,3.17
1599-EAHXY,0,Hombre,0,1,1,60,1,1,No,0,0,0,0,0,0,One year,0,Credit card (automatic),23.95,1506,0.8
1599-MMYRQ,0,Hombre,0,1,1,62,1,0,Fiber optic,1,1,0,0,0,0,One year,1,Credit card (automatic),81.45,4983,2.72
1600-DILPE,0,Mujer,0,0,0,12,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),45.0,524,1.5
1602-IJQQE,1,Mujer,0,0,0,4,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,75.35,338,2.51
1608-GMEWB,0,Hombre,1,0,0,45,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),93.9,4200,3.13
1612-EOHDH,1,Mujer,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,45.15,45,1.5
1614-JBEBI,0,Mujer,0,0,0,8,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,20.7,137,0.69
1618-CFHME,1,Mujer,0,0,0,2,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,75.9,143,2.53
1619-YWUBB,0,Mujer,0,1,0,68,1,1,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),24.95,1614,0.83
1621-YNCJH,0,Mujer,0,1,0,36,1,1,Fiber optic,1,1,1,1,0,1,Two year,1,Credit card (automatic),106.05,3834,3.53
1622-HSHSF,0,Mujer,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.55,19,0.65
1623-NLDOT,1,Mujer,0,1,0,42,0,0,DSL,0,1,0,1,0,0,One year,0,Mailed check,33.55,1445,1.12
1624-NALOJ,1,Hombre,1,0,0,5,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Electronic check,89.8,502,2.99
1624-WOIWJ,1,Mujer,0,0,0,10,1,0,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Mailed check,84.7,832,2.82
1625-JAIIY,1,Mujer,0,1,1,68,1,1,Fiber optic,0,0,0,0,1,0,One year,1,Electronic check,83.0,5685,2.77
1626-ERCMM,1,Hombre,1,1,0,20,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,94.55,1899,3.15
1627-AFWVJ,0,Mujer,0,0,0,29,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,19.4,554,0.65
1628-BIZYP,0,Hombre,0,0,0,1,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Electronic check,85.0,85,2.83
1629-DQQVB,0,Mujer,0,0,0,14,1,0,DSL,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),50.1,709,1.67
1635-FJFCC,0,Mujer,0,0,0,5,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),44.05,202,1.47
1635-HDGFT,0,Mujer,0,0,1,19,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.5,398,0.68
1635-NZATJ,0,Hombre,1,1,0,71,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),25.45,1789,0.85
1636-NTNCO,0,Hombre,1,0,0,4,0,0,DSL,0,1,0,0,1,1,Month-to-month,1,Credit card (automatic),50.95,207,1.7
1640-PLFMP,0,Mujer,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.25,70,2.34
1641-BYBTK,0,Hombre,0,0,1,6,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,20.2,98,0.67
1641-RQDAY,0,Mujer,1,1,1,32,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,100.4,3217,3.35
1642-HMARX,0,Mujer,0,1,0,68,1,1,DSL,1,1,1,1,1,1,Two year,1,Electronic check,91.7,6424,3.06
1644-IRKSF,1,Mujer,0,1,1,33,1,0,Fiber optic,0,0,1,0,1,1,One year,1,Electronic check,93.8,3124,3.13
1645-EFCGT,0,Hombre,0,1,1,72,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.4,1363,0.65
1656-DRSMG,0,Mujer,0,0,0,63,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Credit card (automatic),109.85,7002,3.66
1657-DYMBM,0,Hombre,0,1,0,53,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.9,1110,0.66
1658-BYGOY,1,Hombre,1,0,0,18,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,1752,3.18
1658-TJVOA,0,Mujer,1,0,0,6,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,74.1,450,2.47
1658-XUHBX,0,Mujer,1,1,1,59,1,1,Fiber optic,0,0,1,0,0,1,Month-to-month,1,Credit card (automatic),88.75,5348,2.96
1660-HSOOQ,1,Hombre,0,0,0,1,1,0,DSL,0,0,1,0,0,0,Month-to-month,1,Mailed check,49.65,49,1.66
1661-CZBAU,0,Hombre,0,0,0,48,1,1,DSL,1,0,0,1,0,1,One year,1,Bank transfer (automatic),70.95,3629,2.37
1663-MHLHE,0,Hombre,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.2,19,0.64
1666-JXLKU,0,Mujer,0,0,0,37,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.05,3810,3.34
1666-JZPZT,0,Hombre,0,0,0,27,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,49.0,1291,1.63
1670-SVOWZ,1,Mujer,0,1,1,14,1,0,Fiber optic,0,1,0,1,0,1,Month-to-month,1,Credit card (automatic),89.65,1208,2.99
1676-BZZYV,0,Hombre,0,1,1,55,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,19.5,1026,0.65
1676-MQAOA,0,Hombre,0,0,0,72,1,0,DSL,1,1,1,1,1,0,Two year,1,Bank transfer (automatic),75.1,5336,2.5
1678-FYZOW,1,Mujer,0,0,0,3,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,79.4,244,2.65
1679-JRFBR,0,Mujer,0,1,1,70,1,1,Fiber optic,1,1,1,0,1,1,One year,1,Credit card (automatic),108.15,7930,3.6
1680-VDCWW,0,Hombre,0,1,0,12,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),19.8,202,0.66
1682-VCOIO,0,Hombre,0,0,0,23,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.45,481,0.68
1684-FLBGS,0,Mujer,0,1,1,23,1,1,DSL,0,1,0,1,1,0,Month-to-month,1,Credit card (automatic),69.5,1652,2.32
1685-BQULA,0,Mujer,0,0,0,40,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,1,Bank transfer (automatic),93.4,3756,3.11
1685-VAYJF,0,Hombre,0,0,0,11,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Credit card (automatic),45.2,492,1.51
1686-STUHN,0,Hombre,0,0,0,42,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),19.8,849,0.66
1689-MRZQR,1,Hombre,0,1,1,34,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,0,Electronic check,78.3,2564,2.61
1689-YQBYY,0,Mujer,0,0,1,12,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,76.6,893,2.55
1696-HXOWK,0,Mujer,0,1,0,71,1,1,Fiber optic,1,1,0,0,1,0,One year,0,Mailed check,95.65,6856,3.19
1696-MZVAU,0,Hombre,0,1,1,39,0,0,DSL,0,0,0,0,0,0,One year,1,Credit card (automatic),25.25,947,0.84
1697-BCSHV,0,Mujer,0,1,1,58,1,1,DSL,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),66.8,3970,2.23
1697-LYYYX,0,Mujer,0,1,1,61,1,0,No,0,0,0,0,0,0,One year,0,Credit card (automatic),19.1,1143,0.64
1697-NVVGY,0,Hombre,1,1,0,19,1,0,DSL,1,0,1,0,1,0,Month-to-month,0,Bank transfer (automatic),66.4,1286,2.21
1698-XFZCI,0,Hombre,0,0,0,61,1,1,Fiber optic,1,1,1,0,1,1,One year,1,Electronic check,107.75,6521,3.59
1699-HPSBG,1,Hombre,0,0,0,12,1,0,DSL,0,0,0,1,1,0,One year,1,Electronic check,59.8,727,1.99
1699-TLDLZ,0,Mujer,0,1,1,16,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,19.7,301,0.66
1699-UOTXU,0,Hombre,0,0,0,60,1,0,DSL,1,1,1,0,0,0,Two year,0,Electronic check,61.4,3638,2.05
1702-CCFNJ,0,Hombre,0,1,0,52,1,1,DSL,0,1,0,1,0,0,Month-to-month,0,Bank transfer (automatic),61.35,3169,2.04
1703-MGIAB,0,Mujer,0,0,0,17,1,1,DSL,0,0,1,1,1,0,Month-to-month,1,Mailed check,69.0,1108,2.3
1704-NRWYE,1,Mujer,1,0,0,9,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.85,751,2.7
1705-GUHPV,0,Mujer,0,0,0,63,1,1,No,0,0,0,0,0,0,Two year,0,Mailed check,24.2,1618,0.81
1707-HABPF,0,Mujer,1,0,0,46,1,0,Fiber optic,0,1,1,0,1,0,One year,1,Bank transfer (automatic),91.3,4126,3.04
1708-PBBOA,0,Mujer,0,0,0,42,0,0,DSL,1,1,1,1,0,1,One year,1,Electronic check,54.75,2348,1.82
1709-EJDOX,0,Mujer,0,1,1,47,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,19.75,948,0.66
1710-RCXUS,0,Hombre,0,1,0,51,1,1,Fiber optic,0,1,0,0,0,1,One year,1,Credit card (automatic),90.35,4614,3.01
1716-LSAMB,0,Hombre,0,1,1,45,1,0,DSL,1,0,0,1,0,0,Two year,0,Bank transfer (automatic),54.65,2553,1.82
1722-LDZJS,0,Hombre,0,1,1,53,1,0,No,0,0,0,0,0,0,One year,0,Credit card (automatic),20.2,1068,0.67
1723-HKXJQ,1,Hombre,0,0,0,42,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,101.75,4273,3.39
1724-BQUHA,1,Hombre,1,0,0,5,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,89.5,477,2.98
1724-IQWNM,0,Hombre,0,0,1,1,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.3,19,0.64
1725-IQNIY,1,Hombre,0,1,0,54,1,0,Fiber optic,1,1,1,1,1,1,Two year,0,Bank transfer (automatic),109.75,6110,3.66
1725-MIMXW,1,Hombre,0,0,1,1,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.45,19,0.65
1728-BQDMA,0,Mujer,0,0,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,44.45,82,1.48
1728-CXQBE,0,Hombre,1,1,0,64,1,1,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,94.25,6081,3.14
1729-VLAZJ,0,Mujer,0,0,1,10,0,0,DSL,1,1,0,1,0,0,One year,0,Mailed check,40.25,411,1.34
1730-VFMWO,0,Mujer,0,1,0,34,1,0,DSL,0,0,0,1,0,0,Month-to-month,0,Bank transfer (automatic),50.2,1815,1.67
1730-ZMAME,0,Mujer,1,0,0,32,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,79.5,2665,2.65
1731-TVIUK,1,Mujer,0,0,0,4,1,1,Fiber optic,0,1,0,1,0,1,Month-to-month,1,Electronic check,93.5,362,3.12
1732-FEKLD,0,Mujer,0,0,0,54,1,1,Fiber optic,0,1,1,0,1,0,One year,1,Bank transfer (automatic),94.75,5121,3.16
1732-VHUBQ,1,Mujer,1,1,1,47,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),70.55,3309,2.35
1734-ZMNTZ,0,Mujer,0,1,1,11,1,1,No,0,0,0,0,0,0,Two year,0,Mailed check,25.0,300,0.83
1735-XMJVH,0,Hombre,0,1,1,8,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.35,152,0.64
1736-FCXMC,0,Hombre,0,0,0,56,1,1,Fiber optic,0,1,0,1,0,1,Month-to-month,1,Electronic check,94.45,5124,3.15
1740-CSDJP,1,Hombre,0,0,0,1,0,0,DSL,0,0,0,0,0,1,Month-to-month,1,Bank transfer (automatic),35.25,35,1.18
1741-WTPON,0,Hombre,0,1,1,56,1,1,Fiber optic,1,1,1,1,1,1,Two year,0,Mailed check,115.85,6567,3.86
1744-JHKYS,0,Mujer,0,1,0,34,1,1,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,24.7,780,0.82
1746-TGTWV,0,Hombre,0,1,0,1,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,0,Credit card (automatic),75.35,75,2.51
1750-CSKKM,1,Hombre,0,0,1,9,1,0,DSL,0,0,0,0,1,0,Month-to-month,0,Electronic check,55.35,449,1.84
1751-NCDLI,0,Hombre,1,1,0,46,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,98.85,4564,3.3
1752-OZXFY,0,Hombre,0,1,0,60,1,0,DSL,1,0,0,0,1,0,One year,1,Mailed check,59.8,3561,1.99
1754-GKYPY,0,Hombre,1,1,0,22,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),89.75,1938,2.99
1755-FZQEC,0,Hombre,0,0,0,39,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,19.9,791,0.66
1755-RMCXH,0,Hombre,0,1,1,2,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.3,40,0.68
1757-TCATG,0,Hombre,0,1,1,35,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),20.05,746,0.67
1760-CAZHT,0,Hombre,0,0,1,25,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.8,460,0.69
1761-AEZZR,1,Hombre,0,0,0,1,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,79.55,79,2.65
1763-KUAAW,0,Mujer,1,0,0,18,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),20.35,369,0.68
1763-WQFUK,0,Hombre,0,0,0,3,1,0,DSL,0,0,0,1,0,0,Month-to-month,1,Mailed check,50.5,147,1.68
1764-VUUMT,0,Hombre,0,0,1,66,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.95,1269,0.66
1766-GKNMI,0,Hombre,0,0,0,29,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.9,2516,2.83
1766-UMRDB,0,Hombre,1,0,0,34,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Credit card (automatic),69.15,2275,2.31
1767-CJKBA,0,Hombre,0,0,0,66,1,1,No,0,0,0,0,0,0,Two year,0,Mailed check,25.1,1697,0.84
1767-TGTKO,0,Mujer,0,1,1,8,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.45,411,1.52
1768-HNVGJ,0,Mujer,1,0,0,45,1,1,DSL,1,0,0,1,0,1,Month-to-month,1,Electronic check,70.05,3062,2.34
1768-ZAIFU,1,Mujer,1,0,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,25.2,25,0.84
1769-GRUIK,0,Mujer,0,0,0,18,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,71.1,1247,2.37
1771-OADNZ,1,Hombre,1,1,0,29,1,1,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,95.9,2745,3.2
1775-KWJKQ,0,Hombre,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,0,Credit card (automatic),89.85,6562,2.99
1776-SPBWV,0,Mujer,0,1,1,34,1,0,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),20.1,682,0.67
1777-JYQPJ,0,Hombre,0,0,0,2,0,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,24.3,38,0.81
1779-PWPMG,0,Mujer,1,1,0,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),114.65,8333,3.82
1784-BXEFA,0,Mujer,0,0,0,10,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,20.55,187,0.68
1784-EZDKJ,0,Hombre,0,1,0,51,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Bank transfer (automatic),106.8,5498,3.56
1785-BPHTP,0,Hombre,0,1,1,28,1,0,Fiber optic,0,0,1,0,1,0,Month-to-month,0,Electronic check,85.45,2289,2.85
1790-NESIO,0,Mujer,0,0,0,13,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,20.4,261,0.68
1791-PQHBB,0,Mujer,0,0,1,2,1,0,DSL,1,0,0,0,0,1,Month-to-month,1,Credit card (automatic),61.2,125,2.04
1792-UXAFY,1,Mujer,1,0,0,17,1,0,Fiber optic,0,1,1,0,1,0,Month-to-month,1,Electronic check,89.15,1496,2.97
1794-HBQTJ,1,Mujer,0,0,0,1,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Credit card (automatic),48.6,48,1.62
1794-SWWKL,0,Hombre,0,1,1,15,1,1,DSL,0,0,1,1,0,0,Month-to-month,1,Bank transfer (automatic),59.65,867,1.99
1796-JANOW,0,Mujer,0,0,0,2,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.95,38,0.66
1803-BGNBD,0,Mujer,0,0,0,12,1,0,DSL,0,1,0,1,0,0,Month-to-month,1,Electronic check,54.3,654,1.81
1809-DMJHQ,1,Mujer,0,0,1,5,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,46.0,221,1.53
1810-BOHSY,0,Hombre,0,1,0,51,1,1,Fiber optic,1,1,0,0,0,1,One year,1,Credit card (automatic),96.4,4911,3.21
1810-MVMAI,0,Hombre,0,1,1,30,1,1,DSL,1,1,1,1,0,0,Month-to-month,0,Electronic check,67.6,2000,2.25
1813-JLKWR,0,Mujer,0,1,1,64,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),19.8,1336,0.66
1813-JYWTO,0,Mujer,0,1,0,72,1,1,Fiber optic,1,0,0,0,0,0,Two year,0,Bank transfer (automatic),80.45,5737,2.68
1814-DKOLC,0,Mujer,0,0,0,5,1,1,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,25.45,134,0.85
1814-WFGVS,0,Hombre,0,1,1,72,0,0,DSL,1,0,1,1,1,0,Two year,0,Mailed check,48.9,3527,1.63
1816-FLZDK,0,Hombre,0,0,0,1,0,0,DSL,0,0,0,1,0,0,Month-to-month,0,Mailed check,29.15,29,0.97
1818-ESQMW,0,Mujer,0,0,0,27,1,0,Fiber optic,0,0,1,1,0,1,Month-to-month,1,Electronic check,89.2,2383,2.97
1820-DJFPH,0,Mujer,0,1,1,72,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),24.05,1709,0.8
1820-TQVEV,1,Hombre,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.55,69,2.32
1821-BUCWY,0,Hombre,0,0,0,30,1,0,DSL,1,0,1,0,0,0,Two year,1,Mailed check,55.65,1653,1.86
1830-GGFNM,0,Hombre,0,1,1,65,1,1,Fiber optic,1,1,1,1,0,0,Two year,0,Credit card (automatic),94.55,6078,3.15
1830-IPXVJ,0,Mujer,0,1,1,61,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.75,1311,0.66
1832-PEUTS,0,Hombre,0,1,1,62,1,1,Fiber optic,0,0,1,0,1,0,Two year,1,Credit card (automatic),89.1,5411,2.97
